City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,Mangan,27.5167,88.5333,70.7,90,100,0.2,IN,2022-04-02 19:58:03
95,Geraldton,-28.7667,114.6,73.81,94,75,6.91,AU,2022-04-02 19:58:04
96,Qaanaaq,77.484,-69.3632,14.11,82,89,4.21,GL,2022-04-02 19:58:04
97,Roald,62.5833,6.1333,39.16,87,40,9.22,NO,2022-04-02 19:58:05
98,Cap Malheureux,-19.9842,57.6142,74.46,91,100,7.0,MU,2022-04-02 19:58:05
99,Flin Flon,54.7682,-101.865,26.44,63,75,3.44,CA,2022-04-02 19:58:05
100,Bengkulu,-3.8004,102.2655,75.6,81,100,5.39,ID,2022-04-02 19:58:06
101,Mata,40.683,-7.4592,40.42,55,21,4.12,PT,2022-04-02 19:58:06
102,Ayr,55.4627,-4.6339,42.78,65,20,3.44,GB,2022-04-02 19:58:07
103,Pacific Grove,36.6177,-121.9166,68.38,77,20,8.01,US,2022-04-02 19:53:29
104,Ponta Do Sol,32.6667,-17.1,63.23,82,100,7.45,PT,2022-04-02 19:58:07
105,Haines Junction,60.7522,-137.5108,35.55,48,97,5.75,CA,2022-04-02 19:58:07
106,Aswan,24.0934,32.907,92.5,10,0,6.91,EG,2022-04-02 19:58:08
107,Waddan,29.1614,16.139,76.23,15,100,13.27,LY,2022-04-02 19:58:08
108,Butaritari,3.0707,172.7902,81.43,76,86,16.58,KI,2022-04-02 19:58:08
109,Rio Gallegos,-51.6226,-69.2181,53.65,54,40,19.57,AR,2022-04-02 19:58:09
110,Bambous Virieux,-20.3428,57.7575,74.21,100,75,9.22,MU,2022-04-02 19:58:09
111,Hermanus,-34.4187,19.2345,62.8,79,98,17.22,ZA,2022-04-02 19:58:09
112,New Norfolk,-42.7826,147.0587,54.9,68,92,0.85,AU,2022-04-02 19:58:10
113,Yongan,39.6957,113.6871,37.69,26,20,3.85,CN,2022-04-02 19:58:10
114,Camacha,33.0833,-16.3333,58.42,77,20,10.36,PT,2022-04-02 19:58:11
115,Tungor,53.3808,142.9564,15.58,93,85,5.75,RU,2022-04-02 19:58:11
116,Cape Town,-33.9258,18.4232,65.26,71,20,14.97,ZA,2022-04-02 19:58:11
117,Mount Gambier,-37.8333,140.7667,53.51,94,100,6.91,AU,2022-04-02 19:58:12
118,Thinadhoo,0.5333,72.9333,82.87,69,9,4.14,MV,2022-04-02 19:58:12
119,Valparaiso,-33.0393,-71.6273,62.24,87,100,12.66,CL,2022-04-02 19:58:13
120,Khatanga,71.9667,102.5,-0.83,98,100,6.67,RU,2022-04-02 19:58:13
121,Kloulklubed,7.0419,134.2556,82.47,71,89,2.55,PW,2022-04-02 19:58:13
122,Kochevo,59.5994,54.3125,21.76,92,100,6.87,RU,2022-04-02 19:58:14
123,Hailey,43.5196,-114.3153,50.79,33,3,13.0,US,2022-04-02 19:58:14
124,Touros,-5.1989,-35.4608,81.28,78,91,12.03,BR,2022-04-02 19:58:14
125,Galesong,-5.3166,119.3661,77.02,80,100,2.82,ID,2022-04-02 19:58:15
126,Hami,42.8,93.45,52.88,15,58,5.01,CN,2022-04-02 19:58:15
127,Henties Bay,-22.116,14.2845,61.25,84,0,10.27,NA,2022-04-02 19:58:16
128,Butler,39.4501,-84.5666,52.14,50,75,11.5,US,2022-04-02 19:56:27
129,Bonavista,48.6499,-53.1147,35.06,96,100,20.85,CA,2022-04-02 19:58:16
130,Ruteng,-8.6136,120.4721,60.73,93,23,1.39,ID,2022-04-02 19:58:17
131,El Alto,-4.2714,-81.2147,85.66,69,66,14.74,PE,2022-04-02 19:58:18
132,Pisco,-13.7,-76.2167,73.45,64,0,16.11,PE,2022-04-02 19:58:18
133,Northam,51.0333,-4.2167,40.39,73,20,4.9,GB,2022-04-02 19:58:19
134,Dauphin,51.1494,-100.0502,33.94,60,100,8.05,CA,2022-04-02 19:58:19
135,Iquitos,-3.7481,-73.2472,75.24,88,75,2.3,PE,2022-04-02 19:54:47
136,Fortuna,40.5982,-124.1573,61.86,57,0,13.8,US,2022-04-02 19:58:20
137,Ilebo,-4.3167,20.5833,68.7,99,100,0.78,CD,2022-04-02 19:58:20
138,Mabaruma,8.2,-59.7833,77.9,92,80,5.91,GY,2022-04-02 19:59:21
139,Pevek,69.7008,170.3133,-7.94,96,100,1.9,RU,2022-04-02 19:59:22
140,Qasigiannguit,68.8193,-51.1922,32.61,88,81,4.09,GL,2022-04-02 19:59:22
141,Opatija,45.3392,14.3083,43.74,84,100,2.35,HR,2022-04-02 19:59:22
142,Grindavik,63.8424,-22.4338,46.35,100,75,17.27,IS,2022-04-02 19:59:23
143,Puerto Ayora,-0.7393,-90.3518,85.96,90,48,4.0,EC,2022-04-02 19:59:23
144,Helena,46.5927,-112.0361,44.82,69,100,14.0,US,2022-04-02 19:59:23
145,Steamboat Springs,40.485,-106.8317,55.54,36,0,8.05,US,2022-04-02 19:58:16
146,Baghmara,23.795,86.2085,79.74,78,1,6.98,IN,2022-04-02 19:59:24
147,Manavalakurichi,8.1333,77.3,80.01,81,12,6.31,IN,2022-04-02 19:59:24
148,Sur,22.5667,59.5289,82.71,38,54,9.26,OM,2022-04-02 19:59:24
149,Sun City West,33.662,-112.3413,86.52,22,0,5.99,US,2022-04-02 19:59:25
150,Severo-Kurilsk,50.6789,156.125,27.59,66,100,28.34,RU,2022-04-02 19:59:25
151,Saint-Lo,49.1162,-1.0903,39.63,68,16,4.94,FR,2022-04-02 19:59:25
152,Portland,45.5234,-122.6762,57.97,60,57,5.01,US,2022-04-02 19:58:19
