City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Qasigiannguit,GL,34.05,overcast clouds,68.8193,-51.1922,Almost HOME
141,Opatija,HR,45.28,overcast clouds,45.3392,14.3083,Hotel Opatija
142,Grindavik,IS,46.35,light rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
143,Puerto Ayora,EC,85.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
144,Helena,US,47.35,broken clouds,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
145,Steamboat Springs,US,58.59,broken clouds,40.485,-106.8317,Steamboat Grand
146,Baghmara,IN,78.13,clear sky,23.795,86.2085,Shankar tea shop
147,Manavalakurichi,IN,79.84,few clouds,8.1333,77.3,Jebinrio home
148,Sur,OM,82.56,broken clouds,22.5667,59.5289,Sur Plaza Hotel
149,Sun City West,US,87.53,clear sky,33.662,-112.3413,Windmill All Suites Surprise
150,Severo-Kurilsk,RU,28.08,overcast clouds,50.6789,156.125,Kak Doma
151,Saint-Lo,FR,39.63,few clouds,49.1162,-1.0903,Hôtel Mercure Saint-Lô Centre
152,Portland,US,58.95,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
153,Tuatapere,NZ,51.98,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
154,Douentza,ML,88.41,clear sky,14.9951,-2.9517,Ogomono Doumbo
155,Yulara,AU,55.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
156,Comodoro Rivadavia,AR,73.26,few clouds,-45.8667,-67.5,Austral Hotel
157,Sao Filipe,CV,71.44,scattered clouds,14.8961,-24.4956,Hotel Xaguate
158,Eirunepe,BR,77.04,overcast clouds,-6.6603,-69.8736,Atrás de você
159,Fallon,US,65.91,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
160,Klaksvik,FO,43.72,overcast clouds,62.2266,-6.589,Airbnb rooms
162,Lazaro Cardenas,MX,80.85,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
163,Hirara,JP,65.66,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
164,Saint-Francois,FR,33.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
165,Minden,DE,34.99,broken clouds,52.2833,8.9167,Victoria Hotel Minden
166,Harpanahalli,IN,75.49,few clouds,14.8,75.9833,SUKHASHAYANA DELUXE LODGE
167,Lasa,IT,32.88,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
168,Thompson,CA,28.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
169,Belyy Yar,RU,34.86,snow,53.6039,91.3903,Pasportnyy Stol
170,Enid,US,68.16,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
171,Sabha,LY,79.09,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
172,Brae,GB,39.56,overcast clouds,60.3964,-1.353,Busta House Hotel
173,Melfi,IT,39.49,scattered clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
174,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
175,Alamos,MX,89.19,clear sky,27.0167,-108.9333,Luz del Sol
176,Nikolskoye,RU,28.8,clear sky,59.7035,30.7861,Tourist House - Sablino
177,Dawlatabad,AF,60.42,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
178,Gradignan,FR,43.34,broken clouds,44.7726,-0.6139,Domaine de Raba
180,Sucua,EC,77.74,moderate rain,-2.4667,-78.1667,Hotel Orellana
181,Banda Aceh,ID,79.2,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
182,Carnarvon,AU,75.27,few clouds,-24.8667,113.6333,Hospitality Carnarvon
183,Moron,AR,71.96,clear sky,-34.6534,-58.6198,Hotel Morón
184,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
185,Faanui,PF,81.9,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
187,Chimoio,MZ,71.46,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
188,Port Lincoln,AU,59.32,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
190,Longyearbyen,SJ,1.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
191,Vila,PT,41.88,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
193,Katsuura,JP,52.47,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
194,Meulaboh,ID,77.47,overcast clouds,4.1363,96.1285,Kost Pria
195,Naze,JP,61.72,overcast clouds,28.3667,129.4833,Shishime Hotel
197,Serik,TR,60.75,broken clouds,36.9169,31.0989,Armas Belek - Ultra All Inclusive
198,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
199,Taboga,IT,44.47,overcast clouds,46.2663,13.1092,"Hotel Willy - Taverna, Pizzeria, Ristorante"
200,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
201,Port Hardy,CA,44.78,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
202,Kovernino,RU,31.41,overcast clouds,57.1253,43.8142,Welcome
203,Toropets,RU,28.2,overcast clouds,56.4978,31.6353,Toropa
204,Muli,MV,82.4,few clouds,2.9167,73.5667,Medhufushi Island Resort
205,Calvinia,ZA,61.02,clear sky,-31.4707,19.776,Die Lemoenhuis
