City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
55,Komsomolskiy,40.4272,71.7189,57.92,58,1,6.91,UZ,2022-04-02 20:38:29,clear sky
56,Tambura,5.6,27.4667,78.62,53,81,4.94,SS,2022-04-02 20:38:29,broken clouds
57,Ribeira Grande,38.5167,-28.7,61.2,67,40,13.8,PT,2022-04-02 20:38:29,scattered clouds
58,Chazuta,-6.5742,-76.1367,81.45,73,91,0.2,PE,2022-04-02 20:38:29,overcast clouds
59,Dingle,10.9995,122.6711,74.71,87,87,7.29,PH,2022-04-02 20:38:30,overcast clouds
60,Madera,37.1666,-119.8343,79.52,44,93,1.01,US,2022-04-02 20:38:15,overcast clouds
61,Saint-Philippe,-21.3585,55.7679,76.59,98,100,21.12,RE,2022-04-02 20:38:30,very heavy rain
62,Bredasdorp,-34.5322,20.0403,61.84,78,76,13.47,ZA,2022-04-02 20:38:31,light rain
63,Mitsamiouli,-11.3847,43.2844,81.12,76,4,5.08,KM,2022-04-02 20:38:31,clear sky
64,Zhigansk,66.7697,123.3711,-2.29,100,100,6.15,RU,2022-04-02 20:38:31,overcast clouds
65,Payo,-3.7508,103.6372,72.59,92,97,2.01,ID,2022-04-02 20:38:32,light rain
66,Castro,-24.7911,-50.0119,60.51,95,100,5.46,BR,2022-04-02 20:35:31,overcast clouds
67,Ayorou,14.7308,0.9174,89.78,9,31,6.91,NE,2022-04-02 20:38:32,scattered clouds
68,Atuona,-9.8,-139.0333,79.36,76,4,15.12,PF,2022-04-02 20:38:32,clear sky
69,Chuy,-33.6971,-53.4616,65.53,63,3,11.18,UY,2022-04-02 20:38:33,clear sky
70,Barrow,71.2906,-156.7887,-7.58,84,0,10.36,US,2022-04-02 20:37:39,haze
71,Fort Nelson,58.8053,-122.7002,17.19,62,40,0.0,CA,2022-04-02 20:38:33,scattered clouds
72,Tacuarembo,-31.7333,-55.9833,68.76,57,0,5.39,UY,2022-04-02 20:38:34,clear sky
73,Caravelas,-17.7125,-39.2481,77.95,78,0,5.68,BR,2022-04-02 20:38:34,clear sky
