City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Lompoc,US,2022-03-30 01:37:07,34.6391,-120.4579,61.57,83,100,23.0
132,New Norfolk,AU,2022-03-30 01:37:07,-42.7826,147.0587,57.9,64,100,1.99
133,Lebu,CL,2022-03-30 01:35:04,-37.6167,-73.65,52.39,71,0,17.9
134,Faanui,PF,2022-03-30 01:37:09,-16.4833,-151.75,82.36,71,12,14.97
135,Seoul,KR,2022-03-30 01:36:37,37.5683,126.9778,56.77,52,75,9.22
136,Hayvoron,UA,2022-03-30 01:37:10,48.3396,29.8679,48.13,83,100,5.5
137,Ribeira Grande,PT,2022-03-30 01:37:10,38.5167,-28.7,61.83,93,100,6.11
138,Hermanus,ZA,2022-03-30 01:37:11,-34.4187,19.2345,65.8,77,1,16.46
139,Rio Muerto,MX,2022-03-30 01:37:12,27.4167,-110.2333,72.12,41,1,6.85
140,Colares,PT,2022-03-30 01:38:13,38.7992,-9.4469,57.76,73,2,28.99
141,Mercedes,AR,2022-03-30 01:38:13,-34.6515,-59.4307,58.64,23,0,16.26
142,Mahebourg,MU,2022-03-30 01:38:14,-20.4081,57.7,75.49,88,40,1.14
143,Lere,NG,2022-03-30 01:38:15,10.387,8.5726,69.12,11,40,3.74
144,Airai,TL,2022-03-30 01:38:16,-8.9266,125.4092,69.78,78,95,0.67
145,Te Anau,NZ,2022-03-30 01:38:18,-45.4167,167.7167,70.86,49,5,0.81
146,Husavik,IS,2022-03-30 01:38:19,66.0449,-17.3389,23.56,78,44,12.55
147,Constitucion,CL,2022-03-30 01:38:19,-35.3333,-72.4167,56.32,43,0,13.8
148,Kutum,SD,2022-03-30 01:38:20,14.2,24.6667,61.12,10,99,7.31
149,Naze,JP,2022-03-30 01:38:21,28.3667,129.4833,67.12,85,100,10.51
150,Victoria,HK,2022-03-30 01:37:21,22.2855,114.1577,76.96,77,94,8.99
151,Erice,IT,2022-03-30 01:38:22,38.037,12.5865,52.27,77,20,20.71
152,Haapiti,PF,2022-03-30 01:38:23,-17.5667,-149.8667,89.33,67,1,13.65
153,Kirakira,SB,2022-03-30 01:38:24,-10.4544,161.9205,85.62,73,100,2.19
154,San Cristobal,VE,2022-03-30 01:38:24,7.7669,-72.225,71.78,90,12,2.13
155,Aklavik,CA,2022-03-30 01:38:25,68.2191,-135.0107,-6.95,94,80,11.27
156,Ostrovnoy,RU,2022-03-30 01:38:26,68.0531,39.5131,15.62,81,100,5.44
157,Baykit,RU,2022-03-30 01:38:26,61.67,96.37,18.25,97,100,3.74
158,Los Llanos De Aridane,ES,2022-03-30 01:33:53,28.6585,-17.9182,60.55,85,0,16.11
159,Gairo,IT,2022-03-30 01:38:27,39.8497,9.5047,48.16,99,100,1.34
160,Bluff,NZ,2022-03-30 01:38:29,-46.6,168.3333,62.78,70,6,1.34
161,Waycross,US,2022-03-30 01:38:29,31.2136,-82.354,68.23,81,0,9.22
162,Qaanaaq,GL,2022-03-30 01:38:31,77.484,-69.3632,15.6,91,100,3.56
163,Mount Gambier,AU,2022-03-30 01:38:31,-37.8333,140.7667,62.51,77,75,12.66
164,Chapada Dos Guimaraes,BR,2022-03-30 01:38:32,-15.4606,-55.7497,69.46,91,74,4.59
165,Barstow,US,2022-03-30 01:38:33,34.8986,-117.0228,68.99,43,0,19.66
166,Buala,SB,2022-03-30 01:38:33,-8.145,159.5921,84.25,72,100,2.42
167,Wilmington,US,2022-03-30 01:34:37,34.2257,-77.9447,48.11,62,0,3.44
168,Anadyr,RU,2022-03-30 01:38:35,64.75,177.4833,5.5,71,0,0.0
169,Sisimiut,GL,2022-03-30 01:38:36,66.9395,-53.6735,15.91,95,84,6.31
170,Chokurdakh,RU,2022-03-30 01:38:36,70.6333,147.9167,3.0,86,12,4.41
171,Olafsvik,IS,2022-03-30 01:38:37,64.8945,-23.7142,36.32,78,90,6.64
172,Atasu,KZ,2022-03-30 01:38:38,48.6814,71.6433,24.85,93,100,23.0
173,Bethel,US,2022-03-30 01:38:18,41.3712,-73.414,32.49,48,0,9.24
174,Bathsheba,BB,2022-03-30 01:38:39,13.2167,-59.5167,77.61,69,40,17.27
175,Barranca,PE,2022-03-30 01:38:40,-10.75,-77.7667,69.64,85,100,6.69
176,Cherskiy,RU,2022-03-30 01:38:41,68.75,161.3,8.33,68,100,3.4
177,Valpacos,PT,2022-03-30 01:38:41,41.6075,-7.3109,45.34,93,17,4.79
178,Bac Lieu,VN,2022-03-30 01:38:42,9.285,105.7244,86.27,63,60,8.68
179,Isangel,VU,2022-03-30 01:34:10,-19.55,169.2667,82.72,80,94,11.43
180,Mabai,CN,2022-03-30 01:38:43,23.0128,104.4508,59.11,87,100,3.85
181,General Roca,AR,2022-03-30 01:37:13,-39.0333,-67.5833,50.63,21,5,9.82
182,Thompson,CA,2022-03-30 01:39:44,55.7435,-97.8558,24.96,54,20,5.75
183,Kacarevo,RS,2022-03-30 01:39:45,44.9666,20.6995,53.85,51,99,4.47
184,Barddhaman,IN,2022-03-30 01:39:46,23.25,87.85,80.47,78,47,10.56
185,Iqaluit,CA,2022-03-30 01:39:46,63.7506,-68.5145,26.33,100,100,3.44
186,Cabo San Lucas,MX,2022-03-30 01:39:47,22.8909,-109.9124,74.5,64,40,12.66
187,Krasnyy Chikoy,RU,2022-03-30 01:39:48,50.3643,108.7512,21.99,61,8,2.33
188,Bambous Virieux,MU,2022-03-30 01:39:48,-20.3428,57.7575,75.45,88,40,1.14
189,Mehamn,NO,2022-03-30 01:39:49,71.0357,27.8492,27.77,88,100,26.15
190,Brae,GB,2022-03-30 01:39:50,60.3964,-1.353,35.53,67,82,19.28
191,Saldanha,ZA,2022-03-30 01:39:50,-33.0117,17.9442,62.51,78,83,8.41
192,San Patricio,US,2022-03-30 01:39:51,28.017,-97.5169,75.29,81,99,22.26
193,Kununurra,AU,2022-03-30 01:39:37,-15.7667,128.7333,89.58,58,57,8.05
194,Emerald,AU,2022-03-30 01:39:52,-23.5333,148.1667,87.94,33,0,17.27
195,Camacha,PT,2022-03-30 01:39:53,33.0833,-16.3333,58.42,77,40,17.27
196,Vanimo,PG,2022-03-30 01:39:53,-2.6741,141.3028,85.03,67,99,6.55
197,Conceicao Do Araguaia,BR,2022-03-30 01:39:54,-8.2578,-49.2647,71.64,97,100,2.17
198,Mount Isa,AU,2022-03-30 01:39:55,-20.7333,139.5,89.37,19,7,13.8
199,Sao Joao Da Barra,BR,2022-03-30 01:39:55,-21.6403,-41.0511,75.94,88,100,4.72
200,Turukhansk,RU,2022-03-30 01:39:56,65.8167,87.9833,29.01,95,100,13.04
201,Sur,OM,2022-03-30 01:39:57,22.5667,59.5289,76.84,49,0,2.01
202,Waipawa,NZ,2022-03-30 01:39:57,-41.4122,175.5153,60.49,94,100,3.0
